index,00,01,02,03,04,05,06,07,08,09
1,all ages,all ages,all ages,all ages,all ages,all ages,all ages,all ages,all ages,
2,0,0,0,0,0,0,0,0,0,
3,1,1,1-4,1,1–4,1–4,1–4,1–4,1–4,
4,2,2,,2,,,,,,
5,3,3,,3,,,,,,
6,4,4,,4,,,,,,
7,5–9,5–9,5–9,5–9,5–9,5–9,5–9,5-14,5-14,
8,10-14,10-14,10-14,10-14,10-14,10-14,10-14,,,
9,15-19,15-19,15-19,15-19,15-19,15-19,15-19,15-24,15-24,
10,20-24,20-24,20-24,20-24,20-24,20-24,20-24,,,
11,25-29,25-29,25-29,25-29,25-29,25-29,25-29,25-34,25-34,
12,30-34,30-34,30-34,30-34,30-34,30-34,30-34,,,
13,35-39,35-39,35-39,35-39,35-39,35-39,35-39,35-44,35-44,
14,40-44,40-44,40-44,40-44,40-44,40-44,40-44,,,
15,45-49,45-49,45-49,45-49,45-49,45-49,45-49,45-54,45-54,
16,50-54,50-54,50-54,50-54,50-54,50-54,50-54,,,
17,55-59,55-59,55-59,55-59,55-59,55-59,55-59,55-64,55-64,
18,60-64,60-64,60-64,60-64,60-64,60-64,60-64,,,
19,65-69,65-69,65-69,65-69,65-69,65-69,65 &+,65-74,65 &+,
20,70-74,70-74,70-74,70-74,70-74,70 &+,,,,
21,75-79,75-79,75-79,75 &+,75 &+,,,75 &+,,
22,80-84,80-84,80-84,,,,,,,
23,85-89,85 &+,85 &+,,,,,,,
24,90-94,,,,,,,,,
25,95 &+,,,,,,,,,
26,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,
