code,class,desc
A044,oral,Malignant neoplasm of buccal cavity and pharynx
A045,oesophagus,Malignant neoplasm of oesophagus
A046,stomach,Malignant neoplasm of stomach
A047,colorectal,Malignant neoplasm of intestine, except rectum
A048,colorectal,Malignant neoplasm of rectum
A049,larynx,Malignant neoplasm of larynx
A050,lung,Malignant neoplasm of trachea, bronchus and lung, not specified as secondary
A051,breast,Malignant neoplasm of breast
A052,cervix,Malignant neoplasm of cervix uteri
A053,uterus,Malignant neoplasm of other and unspecified parts of uterus
A054,prostate,Malignant neoplasm of prostate
A055,skin,Malignant neoplasm of skin
A056,other_cancers,Malignant neoplasm of bone and connective tissue
A057,other_cancers,Malignant neoplasm of all other and unspecified sites
A058,leukaemia,Leukaemia and aleukaemia
A059,lymphatic_haemopoietic,Lymphosarcoma and other neoplasms of lymphatic and haematopoietic system
B018,other_cancers,Malignant neoplasms, including neoplasms of lymphatic and haematopoietic tissues
